"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2205","#Disney: Senior Security #Systems #Administrator in #Bristol #job https://t.co/OWFwPYkJV4 #DisneyJobs https://t.co/C8sUTU3RLz",FALSE,1,NA,2017-02-14 15:18:53,FALSE,NA,"831523110792855552",NA,"<a href=""http://workfor.us/jobboard"" rel=""nofollow"">Work For Us</a>","8True",0,FALSE,FALSE,NA,NA
"2206","I'm Mulan. Discover which #Disney princess you are! Ì†ΩÌ±ë 

START QUIZ: https://t.co/F9d9LA1PcW https://t.co/CylUtucZ5x",FALSE,1,NA,2017-02-14 15:18:24,FALSE,NA,"831522991490101252",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Princess  Ì†ΩÌ±ë</a>","CristiFigueroa4",1,FALSE,FALSE,NA,NA
"2207","Asset #Management Graduate #Internship, Studio -... in #Burbank at #Disney #job https://t.co/pY8Ff0oYTF #DisneyJobs https://t.co/Qe3amB2lkj",FALSE,0,NA,2017-02-14 15:18:18,FALSE,NA,"831522966647296000",NA,"<a href=""http://workfor.us/jobboard"" rel=""nofollow"">Work For Us</a>","joanlefosse",0,FALSE,FALSE,NA,NA
"2208","Let's get down to business, to defeat this paper! #Disney #Mulan #princess #warrior #China #cartoon #movie #classic #life #love #valentines",FALSE,0,NA,2017-02-14 15:09:09,FALSE,NA,"831520663311613957",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","becca_writes",0,FALSE,FALSE,NA,NA
"2209","Check out Authentic Disney Hairbow, Alice In Wonderland Through the Keyhole #Disney https://t.co/MZJ5kuQNWH via @eBay",FALSE,0,NA,2017-02-14 15:05:15,FALSE,NA,"831519683052466180",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deedee728",0,FALSE,FALSE,NA,NA
"2210","Check out Authentic Disney Hairbow, Simba From The Lion King #Disney https://t.co/BAFI8hGQ7Z via @eBay",FALSE,1,NA,2017-02-14 15:04:52,FALSE,NA,"831519585740345344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deedee728",1,FALSE,FALSE,NA,NA
"2211","RT @crickett_jiminy: #happyvalentinesday #valentines #Disney #love https://t.co/sSH9ktk5sU",FALSE,0,NA,2017-02-14 15:02:01,FALSE,NA,"831518869135249408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lifeline0987654",1,TRUE,FALSE,NA,NA
"2212","Make It Real debuts line of #Disney sketchbooks: https://t.co/YStxN1Mrdp",FALSE,0,NA,2017-02-14 15:01:27,FALSE,NA,"831518726772162568",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LicensingBook",0,FALSE,FALSE,NA,NA
"2213","‚ÄúHappily Ever After‚Äù Nighttime Spectacular Begins This May https://t.co/lLh6w6hhyL via @asthebunnyhops #Disney https://t.co/B5fpm52lm3",FALSE,1,NA,2017-02-14 15:01:08,FALSE,NA,"831518645595602944",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","DarcyZalewski",1,FALSE,FALSE,NA,NA
"2214","Happy Valentine's Day from As You Wish Vacations! 

#vday #stvalentine #disney #aywvacations #dta #valentine #bemine https://t.co/wWw97yRIfl",FALSE,1,NA,2017-02-14 15:01:03,FALSE,NA,"831518624577904644",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","aywchristina",0,FALSE,FALSE,NA,NA
